subject,frame,kernel,mean,std,var,shots_for_1sigma
1,sensor,HS-overlap,0.9909708958773268,0.008277855775374666,6.852289623790372e-05,14593.662190344574
1,sensor,Fidelity,0.9871583229858127,0.008524336248892216,7.266430848417781e-05,13761.914492281223
1,sensor,Bures-d2,0.012901821617661196,0.00860937935252316,7.412141283565212e-05,13491.378020778953
1,sensor,QRE,0.031559583639838636,0.02145438103967737,0.0004602904657956678,2172.5411980267263
1,reference,HS-overlap,0.8431029659003179,0.05579579709835294,0.0031131709738405704,321.21589479113885
1,reference,Fidelity,0.9221899430357822,0.023946835192963183,0.0005734509157589401,1743.8284123699386
1,reference,Bures-d2,0.07954967274427382,0.025106028887561936,0.0006303126865030944,1586.514156248211
1,reference,QRE,0.16406090626812522,0.05334251578491983,0.002845423990264421,351.44147354541406
2,sensor,HS-overlap,0.9777074931900985,0.016584986328690925,0.0002750617715228649,3635.5470062726386
2,sensor,Fidelity,0.9812877246568315,0.014313991252667586,0.00020489034558144416,4880.659443284988
2,sensor,Bures-d2,0.018854029177206372,0.014544446360557607,0.00021154091993513742,4727.2177898565415
2,sensor,QRE,0.04234010456844759,0.03160569130240057,0.0009989197227026389,1001.0814455584463
2,reference,HS-overlap,0.7936393905954044,0.11902349120247388,0.014166591458025376,70.58861003812599
2,reference,Fidelity,0.8841871572310419,0.08526229701283769,0.00726965929190535,137.55802849158061
2,reference,Bures-d2,0.12199416376202893,0.09921042274018521,0.009842707980286258,101.5980563481999
2,reference,QRE,0.25666063882869755,0.219713154000305,0.048273870040761745,20.715140492270763
3,sensor,HS-overlap,0.9889674533102478,0.009571699697690944,9.16174351027769e-05,10914.953020439778
3,sensor,Fidelity,0.9758223555609944,0.01736004131042271,0.0003013710342995831,3318.1689219871496
3,sensor,Bures-d2,0.024404341873101427,0.017641367127348796,0.00031121783412190276,3213.183469454723
3,sensor,QRE,0.05696640386102438,0.039116383640118206,0.0015300914690809075,653.5556992554688
3,reference,HS-overlap,0.8158351188587873,0.06910577401886359,0.0047756080027462405,209.3974211084629
3,reference,Fidelity,0.9055206623239528,0.03260548818991799,0.0010631178601028819,940.6294800683964
3,reference,Bures-d2,0.0971342092384759,0.03441557271542569,0.0011844316453307531,844.2867969141009
3,reference,QRE,0.20195376409766794,0.07323391609127199,0.005363206466063465,186.45562245788182
4,sensor,HS-overlap,0.9869106595800887,0.011640631218528475,0.00013550429516577973,7379.839869847463
4,sensor,Fidelity,0.9930293878083637,0.007066476945301057,4.993509641847137e-05,20025.995176212225
4,sensor,Bures-d2,0.0069955097784104164,0.007117105453561474,5.065319003711448e-05,19742.09322783585
4,sensor,QRE,0.01504976456760496,0.014532890364797347,0.00021120490235521956,4734.738582526499
4,reference,HS-overlap,0.8453783001797444,0.053343052057297946,0.0028454812027875987,351.4344073052888
4,reference,Fidelity,0.919699335696087,0.02508444665583528,0.0006292294640294458,1589.2453503308984
4,reference,Bures-d2,0.0821622976005708,0.02637972781561745,0.0006958900396260611,1437.00864081537
4,reference,QRE,0.16946429035026866,0.05586481318069208,0.0031208773517136276,320.4227168526552
5,sensor,HS-overlap,0.9650405173167589,0.02975859526787619,0.0008855739923172631,1129.2111203303527
5,sensor,Fidelity,0.980826153346036,0.01766447710791756,0.00031203375149614355,3204.781518682472
5,sensor,Bures-d2,0.019348363014892404,0.017991839604567208,0.00032370629235647306,3089.2201468199332
5,sensor,QRE,0.04115040805688505,0.037113931203882164,0.001377443889406498,725.9823849745865
5,reference,HS-overlap,0.8447471241249181,0.053340061745566686,0.0028451621870208667,351.47381212987625
5,reference,Fidelity,0.9180328462228435,0.02486348777153945,0.0006181930241654918,1617.6177357386316
5,reference,Bures-d2,0.08389931342954304,0.026259166315733707,0.0006895438155973637,1450.2341655166363
5,reference,QRE,0.1729192745546009,0.055754646527055245,0.0031085806093568732,321.69022639785675
6,sensor,HS-overlap,0.9435816911803679,0.04427164539422083,0.001959978585911634,510.20965595645805
6,sensor,Fidelity,0.9568889615375966,0.03695000587820802,0.0013653029343996075,732.4381826219031
6,sensor,Bures-d2,0.04395840174169019,0.03817213687315162,0.0014571120334626218,686.2890272230068
6,sensor,QRE,0.09450879725852547,0.08004457716526694,0.006407134333566375,156.07601588140489
6,reference,HS-overlap,0.7765479408597272,0.10913503086952867,0.011910454962892975,83.95984898272151
6,reference,Fidelity,0.8878863639990404,0.05033488924861109,0.0025336010756699446,394.6951276595808
6,reference,Bures-d2,0.11621792624605114,0.053949556063358745,0.0029105545994334886,343.5771313806105
6,reference,QRE,0.24560338173361485,0.11910183475085181,0.014185247041019214,70.49577614745226
7,sensor,HS-overlap,0.9778615919240377,0.015091072039166688,0.0002277404552913186,4390.963382947622
7,sensor,Fidelity,0.9673205799764506,0.024169951662823475,0.0005841865633832233,1711.7819249533222
7,sensor,Bures-d2,0.033107401310168205,0.02481582408380441,0.0006158251249583271,1623.8376114772357
7,sensor,QRE,0.07524378691156298,0.053233659655419485,0.0028338225203090365,352.880250203865
7,reference,HS-overlap,0.8255492669886513,0.06081070667960361,0.003697942046872787,270.42067921147196
7,reference,Fidelity,0.9071967492083443,0.03362335186581279,0.0011305297906922564,884.5410428217649
7,reference,Bures-d2,0.09539930631559174,0.03582170362012503,0.0012831944502480787,779.3051160770458
7,reference,QRE,0.1984687962476708,0.07616345502358055,0.005800871881128976,172.38787901059075
8,sensor,HS-overlap,0.9866619699407831,0.0103783176821667,0.00010770947791197399,9284.234028292794
8,sensor,Fidelity,0.9894963553955118,0.00889700277221251,7.91566583287571e-05,12633.17604751269
8,sensor,Bures-d2,0.010551648981205048,0.008982216354759032,8.068021064370064e-05,12394.613152613008
8,sensor,QRE,0.022862033901094723,0.018582620069523277,0.00034531376864824925,2895.916962461584
8,reference,HS-overlap,0.8552850717005726,0.045836719894228446,0.002101004890661958,475.96271881353533
8,reference,Fidelity,0.9225943475252826,0.02449641286879372,0.0006000742434384025,1666.4604604090957
8,reference,Bures-d2,0.07913483981834347,0.02558176110882735,0.0006544265014291116,1528.0554773014817
8,reference,QRE,0.1635661687423969,0.05389027818947143,0.0029041620833386204,344.33339851693177
9,sensor,HS-overlap,0.9647837386928098,0.02654868476358116,0.0007048326626760065,1418.7764741255676
9,sensor,Fidelity,0.9664207436579596,0.019909530233843068,0.00039638939413231124,2522.771836993724
9,sensor,Bures-d2,0.033971302033982034,0.02035026795597771,0.0004141334058800931,2414.680839076133
9,sensor,QRE,0.08230599424029449,0.04821342472008764,0.002324534323239558,430.19369084056484
9,reference,HS-overlap,0.8589447415894559,0.0488857238024933,0.00238981399169366,418.4426082848818
9,reference,Fidelity,0.9247347585873446,0.026150057342423656,0.0006838254990120454,1462.361379393934
9,reference,Bures-d2,0.07693079702097529,0.027274070158245418,0.0007438749029968931,1344.3120556578
9,reference,QRE,0.1592141959708513,0.058058315355866925,0.003370767981961293,296.66829795213215
10,sensor,HS-overlap,0.991131674282214,0.006230259370436204,3.881613182290813e-05,25762.48464330054
10,sensor,Fidelity,0.9833889266679342,0.011879349668700478,0.00014111894855125417,7086.220598056693
10,sensor,Bures-d2,0.016717213215805035,0.012045510252834613,0.0001450943172511438,6892.068682945726
10,sensor,QRE,0.039339122927443175,0.02617554604311869,0.0006851592106554266,1459.5147878744785
10,reference,HS-overlap,0.797511022748452,0.0606444473462621,0.0036777489939335563,271.9054513098907
10,reference,Fidelity,0.8890299111563097,0.033948438283730384,0.0011524964619042508,867.6816225081651
10,reference,Bures-d2,0.11458121599765225,0.036271938965911826,0.0013156535563468327,760.0785139643402
10,reference,QRE,0.23835019611395883,0.07685000161899218,0.0059059227488391,169.32155101361008
11,sensor,HS-overlap,0.9713621838966888,0.03331387006261587,0.0011098139385488542,901.0519378658713
11,sensor,Fidelity,0.987948566178876,0.014126967891842897,0.00019957122181716016,5010.7424852876
11,sensor,Bures-d2,0.012139518226147726,0.014316763507567686,0.00020496971733162178,4878.76947394182
11,sensor,QRE,0.02477857415069267,0.02902324664276461,0.0008423488456867473,1187.156609901594
11,reference,HS-overlap,0.8159070112828826,0.13588904421061718,0.01846583233647507,54.15407124783248
11,reference,Fidelity,0.8970304868409945,0.10301716179368306,0.010612535624025872,94.22818781744164
11,reference,Bures-d2,0.10993670473663288,0.12562916565097001,0.015782687262158868,63.36056613106917
11,reference,QRE,0.23305258625806227,0.2874686953045784,0.08263825078011655,12.100933775338433
12,sensor,HS-overlap,0.9757386305172662,0.024894184239200663,0.0006197204089352667,1613.6308980336578
12,sensor,Fidelity,0.9824985828526526,0.02430924837538896,0.0005909395565763509,1692.2204460191647
12,sensor,Bures-d2,0.017736119915974482,0.024984817886761608,0.0006242411248346428,1601.9450821425664
12,sensor,QRE,0.03809041046457035,0.0526123832167923,0.002768062867750608,361.26347116264134
12,reference,HS-overlap,0.8072477682356367,0.1031669637235708,0.010643422403940575,93.9547414400996
12,reference,Fidelity,0.8982470538261387,0.06590711074971489,0.004343747247375184,230.2159732254851
12,reference,Bures-d2,0.10589555332962533,0.0731885264783205,0.0053565604080678215,186.68696398790593
12,reference,QRE,0.22106417970344483,0.15881915847056138,0.02522352509729729,39.64552916940029
13,sensor,HS-overlap,0.9322803579524394,0.06185440699706637,0.003825967664958733,261.37178553776045
13,sensor,Fidelity,0.9320164609907022,0.05132388241686547,0.002634140906340232,379.63041293389244
13,sensor,Bures-d2,0.06993817008050096,0.05410338853158596,0.002927176650599747,341.6261194195816
13,sensor,QRE,0.16407181625159897,0.12750633737851674,0.016257866071684137,61.50868727733411
13,reference,HS-overlap,0.7882659419714837,0.0961303001528664,0.009241034607480186,108.21299156163171
13,reference,Fidelity,0.8870129901412932,0.05067034537637336,0.0025674839005609615,389.4863760514771
13,reference,Bures-d2,0.11716210368757146,0.05452904524160754,0.0029734167749612818,336.31343188107945
13,reference,QRE,0.2466362337957459,0.11913441677062787,0.01419300925927766,70.4572217020377
14,sensor,HS-overlap,0.9840066152522899,0.011290833358981362,0.00012748291794028636,7844.188195224752
14,sensor,Fidelity,0.9739337680007979,0.02409406023553471,0.0005805237386335749,1722.5824431465626
14,sensor,Bures-d2,0.02639430072019079,0.024811605620016587,0.0006156157734432386,1624.3898274516882
14,sensor,QRE,0.05975165128380383,0.05244440903540045,0.0027504160390723923,363.58135852685797
14,reference,HS-overlap,0.82812131882834,0.044648065777321874,0.0019934497776560606,501.6429363852952
14,reference,Fidelity,0.9055270632847982,0.025108534343464627,0.0006304384968769427,1586.1975513135474
14,reference,Bures-d2,0.09700285646634764,0.026648167703476756,0.0007101248419526216,1408.2030946140571
14,reference,QRE,0.20084671807687135,0.056366891810432085,0.0031772264923689555,314.73991621365184
