pipeline,group,acc_mean,acc_std,auc_mean,auc_std,n_subjects,sec_per_subject
quantum/Fidelity-ref-SVM,quantum,0.6304131054131054,0.17363296730365252,0.6627884615384615,0.22119763775067194,104,6.436381955769172
control/riemann-kernel-SVM,control,0.627136752136752,0.17477876314768978,0.6571794871794872,0.21958564943824682,104,4.556567353846258
control/logeuclid-kernel-SVM,control,0.6254273504273503,0.1728237111351641,0.6582371794871794,0.2179288388406637,104,4.521557057692305
quantum/HS-overlap-ref-SVM,quantum,0.6248575498575499,0.17365444235619226,0.6581089743589743,0.21950555618461545,104,4.702835136538415
quantum/QRE-RBF-ref-SVM,quantum,0.618874643874644,0.17522401600853652,0.6506089743589742,0.22008028564620155,104,15.142350168269356
quantum/Bures-RBF-ref-SVM,quantum,0.6168803418803418,0.1772028842297977,0.6492307692307692,0.22043070067788711,104,17.34598758557704
quantum/HS-RBF-ref-SVM,quantum,0.6138176638176638,0.1749172284322999,0.6486538461538461,0.2175367241898606,104,13.149209046153803
classical/TS+LR,classical,0.6127492877492877,0.17870564743281497,0.6431730769230769,0.21690844354685349,104,4.866775891346081
classical/CSP+LDA,classical,0.6126068376068375,0.17193094129095424,0.6444871794871795,0.20862097643369587,104,3.8716883182691197
classical/TS+RBF-SVM,classical,0.6064814814814815,0.1710948357091606,0.6290384615384615,0.2203139238531347,104,12.882582575961516
control/PCA-matched-linear,control,0.5942307692307692,0.16846947528003364,0.6123076923076923,0.21428845500102525,104,4.9443075201922175
control/PCA-matched-RBF,control,0.5928774928774929,0.16174538796178,0.611474358974359,0.20313923938204462,104,13.704653031730686
control/IQP-no-entangle,control,0.5919515669515669,0.1571284346488991,0.6071474358974359,0.1929308489166415,104,17.323445641346098
classical/MDM,classical,0.5911680911680912,0.16520982823255081,0.6179807692307692,0.20471013435779783,104,0.4739614432691741
quantum/CNOT-kernel-SVM,quantum,0.5885327635327635,0.15705643909266603,0.6171794871794872,0.18983713523403703,104,18.947562562499918
control/logeuclid-TS+LR,control,0.5821225071225071,0.15337632291694842,0.6130128205128205,0.1930600228784378,104,4.328016957692258
quantum/IQP-kernel-SVM,quantum,0.5774928774928775,0.13302502641423422,0.6057371794871794,0.16419031287378044,104,21.433106039423066
classical/logvar+LDA,classical,0.5618945868945869,0.13521552277099033,0.5915705128205129,0.17388073677531157,104,0.08537943076922039
quantum/Bures-RBF-SVM,quantum,0.5545584045584045,0.12439605269755627,0.5723557692307693,0.16940128891775566,104,14.352139662499972
quantum/QRE-RBF-SVM,quantum,0.5524928774928775,0.12654252061791874,0.5726121794871795,0.17237580373793063,104,12.811964107692436
quantum/HS-RBF-SVM,quantum,0.5401709401709401,0.11718820231355125,0.5553044871794872,0.1573113439091284,104,10.78303556153844
quantum/Fidelity-SVM,quantum,0.5325498575498575,0.10727362506992175,0.5688141025641026,0.16334483696972746,104,5.389884916346258
quantum/HS-overlap-SVM,quantum,0.5292735042735043,0.0985674140245165,0.5657211538461538,0.1544712532863627,104,3.88185751057687
