frame,pipeline,group,acc_mean,acc_std,auc_mean,n_subjects
reference,quantum/QRE-RBF,quantum,0.5814814814814815,0.08823836031144662,0.5761052554530816,6
reference,quantum/HS-RBF,quantum,0.5777777777777778,0.10231879496196744,0.5493875086266391,6
reference,classical/MDM,classical,0.5740740740740741,0.10077885989047032,0.5919259886651191,6
reference,quantum/Bures-RBF,quantum,0.5703703703703703,0.09703420974111297,0.5731434427086601,6
reference,classical/TS+LR,classical,0.5666666666666667,0.12151309435104281,0.5943558253340863,6
reference,quantum/Fidelity,quantum,0.5592592592592592,0.07359101752308024,0.593027845745237,6
reference,control/logeuclid-kernel-SVM,control,0.5518518518518518,0.08481400614202869,0.5771835853357593,6
reference,control/riemann-kernel-SVM,control,0.5518518518518518,0.08481400614202869,0.5771835853357593,6
reference,quantum/HS-overlap,quantum,0.5037037037037037,0.036288736930121177,0.5801689252776209,6
sensor,control/logeuclid-kernel-SVM,control,0.5481481481481482,0.09703420974111297,0.5699241378589205,6
sensor,control/riemann-kernel-SVM,control,0.5333333333333333,0.0756861616263396,0.5435449212623126,6
sensor,classical/TS+LR,classical,0.5259259259259259,0.0885177436817165,0.5729539180626138,6
sensor,classical/MDM,classical,0.5074074074074074,0.047488356814295134,0.6110313800531192,6
sensor,quantum/HS-overlap,quantum,0.4962962962962963,0.03345656234262581,0.5240970784449046,6
sensor,quantum/Fidelity,quantum,0.47407407407407404,0.05382489518395538,0.5046662274923145,6
sensor,quantum/QRE-RBF,quantum,0.47407407407407404,0.0538248951839554,0.4558629776021081,6
sensor,quantum/Bures-RBF,quantum,0.4703703703703703,0.05148014919672314,0.4337905452035887,6
sensor,quantum/HS-RBF,quantum,0.4666666666666666,0.06740333728045819,0.440366396888136,6
