qubits,channels,kernel,sensor_var,ref_var,gain,sensor_mean,ref_mean,n
3,motor8,HS-overlap,0.0004947491505438628,0.004711578619082729,9.523166667195754,0.9808734699262744,0.8713335275847512,14
3,motor8,Fidelity,0.00033010023630328635,0.0015467923372204787,4.685826204011958,0.9824789696417107,0.93078502564192,14
3,motor8,Bures-d2,0.00034605983062402184,0.0017815700121574071,5.148156054243121,0.017707138526548486,0.0710751577110519,14
3,motor8,QRE,0.0015822245655115715,0.008270138197199364,5.2269054453249675,0.03912213753571379,0.14671240753925455,14
4,motor16,HS-overlap,0.000727024473881642,0.006561908416859037,9.025704983251089,0.9740718194938156,0.8211487845617409,14
4,motor16,Fidelity,0.0005365874613172719,0.002457741635394086,4.58031879716414,0.9755740635440373,0.9049206906485184,14
4,motor16,Bures-d2,0.000575434857692212,0.003198098533209835,5.55770734160222,0.0247870101204954,0.09835721145669166,14
4,motor16,QRE,0.002842329173568057,0.01572221013025051,5.5314529634560134,0.056287032291670445,0.2051329521958555,14
5,motor32,HS-overlap,0.0009358694330620046,0.007768393916256873,8.300724055961542,0.9647215685363527,0.7437795109440696,14
5,motor32,Fidelity,0.0006370263321065335,0.002729004343881528,4.283974156699602,0.9659784195231731,0.8605774082904566,14
5,motor32,Bures-d2,0.0006899169846359513,0.003724762107207778,5.398855500235618,0.034589379799882164,0.14574594509186348,14
5,motor32,QRE,0.0034259851605006075,0.020228785927474686,5.904516505412662,0.07964145419109121,0.3107446660467564,14
6,all64,HS-overlap,0.003829674043494957,0.009010374683645071,2.352778482270572,0.9260487978988047,0.6537551096801851,14
6,all64,Fidelity,0.0013599588670708178,0.0025462525265835855,1.8723011322157828,0.9449082155365026,0.8077088785608398,14
6,all64,Bures-d2,0.0015399060596996987,0.0034437982736901427,2.2363690642023495,0.05648650547464423,0.2037928271083452,14
6,all64,QRE,0.007779115483319899,0.020110912550990453,2.5852441185778234,0.131890791940882,0.44802625193442064,14
