subject,frame,kernel,shots,accuracy,gram_var
1,sensor,HS-overlap,100,0.3777777777777777,0.0010428470852879338
1,sensor,HS-RBF,100,0.43703703703703695,0.0010428470852879338
1,sensor,HS-overlap,1000,0.5185185185185185,0.0010428470852879338
1,sensor,HS-RBF,1000,0.4962962962962963,0.0010428470852879338
1,sensor,HS-overlap,10000,0.6222222222222222,0.0010428470852879338
1,sensor,HS-RBF,10000,0.5851851851851853,0.0010428470852879338
1,sensor,HS-overlap,100000,0.5259259259259259,0.0010428470852879338
1,sensor,HS-RBF,100000,0.6518518518518518,0.0010428470852879338
1,sensor,HS-overlap,1000000,0.4962962962962963,0.0010428470852879338
1,sensor,HS-RBF,1000000,0.5333333333333333,0.0010428470852879338
1,sensor,HS-overlap,-1,0.5333333333333333,0.0010428470852879338
1,sensor,HS-RBF,-1,0.5111111111111112,0.0010428470852879338
1,reference,HS-overlap,100,0.36296296296296293,1.3469964845693996e-05
1,reference,HS-RBF,100,0.5481481481481482,1.3469964845693996e-05
1,reference,HS-overlap,1000,0.38518518518518524,1.3469964845693996e-05
1,reference,HS-RBF,1000,0.5259259259259258,1.3469964845693996e-05
1,reference,HS-overlap,10000,0.5777777777777777,1.3469964845693996e-05
1,reference,HS-RBF,10000,0.5333333333333333,1.3469964845693996e-05
1,reference,HS-overlap,100000,0.7925925925925926,1.3469964845693996e-05
1,reference,HS-RBF,100000,0.725925925925926,1.3469964845693996e-05
1,reference,HS-overlap,1000000,0.6666666666666667,1.3469964845693996e-05
1,reference,HS-RBF,1000000,0.6370370370370371,1.3469964845693996e-05
1,reference,HS-overlap,-1,0.7407407407407407,1.3469964845693996e-05
1,reference,HS-RBF,-1,0.6814814814814814,1.3469964845693996e-05
2,sensor,HS-overlap,100,0.43703703703703706,0.0013277180431749422
2,sensor,HS-RBF,100,0.42962962962962964,0.0013277180431749422
2,sensor,HS-overlap,1000,0.48888888888888893,0.0013277180431749422
2,sensor,HS-RBF,1000,0.4518518518518519,0.0013277180431749422
2,sensor,HS-overlap,10000,0.4,0.0013277180431749422
2,sensor,HS-RBF,10000,0.4,0.0013277180431749422
2,sensor,HS-overlap,100000,0.5111111111111111,0.0013277180431749422
2,sensor,HS-RBF,100000,0.562962962962963,0.0013277180431749422
2,sensor,HS-overlap,1000000,0.5037037037037038,0.0013277180431749422
2,sensor,HS-RBF,1000000,0.5407407407407409,0.0013277180431749422
2,sensor,HS-overlap,-1,0.5851851851851853,0.0013277180431749422
2,sensor,HS-RBF,-1,0.6888888888888889,0.0013277180431749422
2,reference,HS-overlap,100,0.4444444444444445,4.175661890533828e-05
2,reference,HS-RBF,100,0.5925925925925927,4.175661890533828e-05
2,reference,HS-overlap,1000,0.6222222222222223,4.175661890533828e-05
2,reference,HS-RBF,1000,0.6222222222222222,4.175661890533828e-05
2,reference,HS-overlap,10000,0.777777777777778,4.175661890533828e-05
2,reference,HS-RBF,10000,0.8074074074074075,4.175661890533828e-05
2,reference,HS-overlap,100000,0.9037037037037038,4.175661890533828e-05
2,reference,HS-RBF,100000,0.8666666666666668,4.175661890533828e-05
2,reference,HS-overlap,1000000,0.8740740740740743,4.175661890533828e-05
2,reference,HS-RBF,1000000,0.9185185185185186,4.175661890533828e-05
2,reference,HS-overlap,-1,0.8814814814814816,4.175661890533828e-05
2,reference,HS-RBF,-1,0.9111111111111112,4.175661890533828e-05
3,sensor,HS-overlap,100,0.4962962962962963,0.004099962935670099
3,sensor,HS-RBF,100,0.5185185185185186,0.004099962935670099
3,sensor,HS-overlap,1000,0.4518518518518519,0.004099962935670099
3,sensor,HS-RBF,1000,0.48148148148148145,0.004099962935670099
3,sensor,HS-overlap,10000,0.5925925925925927,0.004099962935670099
3,sensor,HS-RBF,10000,0.5185185185185186,0.004099962935670099
3,sensor,HS-overlap,100000,0.5555555555555556,0.004099962935670099
3,sensor,HS-RBF,100000,0.47407407407407404,0.004099962935670099
3,sensor,HS-overlap,1000000,0.5629629629629631,0.004099962935670099
3,sensor,HS-RBF,1000000,0.4444444444444444,0.004099962935670099
3,sensor,HS-overlap,-1,0.5555555555555556,0.004099962935670099
3,sensor,HS-RBF,-1,0.5185185185185186,0.004099962935670099
3,reference,HS-overlap,100,0.5555555555555556,7.01961525338388e-05
3,reference,HS-RBF,100,0.6888888888888889,7.01961525338388e-05
3,reference,HS-overlap,1000,0.48888888888888893,7.01961525338388e-05
3,reference,HS-RBF,1000,0.5037037037037037,7.01961525338388e-05
3,reference,HS-overlap,10000,0.45185185185185184,7.01961525338388e-05
3,reference,HS-RBF,10000,0.4444444444444445,7.01961525338388e-05
3,reference,HS-overlap,100000,0.5481481481481482,7.01961525338388e-05
3,reference,HS-RBF,100000,0.5185185185185186,7.01961525338388e-05
3,reference,HS-overlap,1000000,0.5111111111111112,7.01961525338388e-05
3,reference,HS-RBF,1000000,0.4592592592592592,7.01961525338388e-05
3,reference,HS-overlap,-1,0.5407407407407407,7.01961525338388e-05
3,reference,HS-RBF,-1,0.5037037037037037,7.01961525338388e-05
4,sensor,HS-overlap,100,0.562962962962963,0.0002767218210417317
4,sensor,HS-RBF,100,0.45185185185185184,0.0002767218210417317
