kernel,n_channels,n_qubits,mean,std,variance,min,max,shots_for_1sigma,subject
Fidelity,4,2,0.9863129073268165,0.014398106098993441,0.00020730545923787212,0.8864153141984297,0.9998239728341557,4823.799641728453,2
HS-RBF,4,2,0.39230906770961205,0.27347170726465686,0.07478677467424617,6.458784486487331e-06,0.9790688901291607,13.371348134155642,2
Bures-RBF,4,2,0.3912150349988048,0.27682606448277114,0.07663266997701937,2.1912822564850675e-06,0.9805860481593398,13.049264762664283,2
HS-overlap,8,3,0.9803749454125593,0.0159741569117642,0.00025517368904166387,0.8764245637764875,0.9991572269527644,3918.899333844421,2
Fidelity,8,3,0.9840862699438198,0.013532091154636204,0.0001831174910173834,0.9091167089786629,0.9994968047470901,5460.974778783255,2
HS-RBF,8,3,0.3793663149253015,0.2547439621720483,0.06489448626311399,0.00012588088034339034,0.9583276793847001,15.409629655522826,2
Bures-RBF,8,3,0.37814717604418835,0.25155301227730403,0.06327891798578548,0.0003104923086840444,0.9572533382732943,15.80305150326105,2
HS-overlap,16,4,0.979851354293668,0.014129345667087886,0.00019963840898005523,0.9058606647067424,0.998000721673404,5009.05614860868,2
Fidelity,16,4,0.9811336555964985,0.01393545388714135,0.00019419687504064297,0.9040680327227232,0.9989909972233161,5149.4134485465465,2
HS-RBF,16,4,0.37828471323312907,0.24058898016144378,0.05788305737512359,0.00047005115301572095,0.9397898560639983,17.27621251101657,2
Bures-RBF,16,4,0.3701554456121394,0.21895616131644632,0.04794180057843367,0.0012349763142296734,0.9335873358141807,20.858624163770852,2
HS-overlap,32,5,0.957535403830846,0.02374110231651029,0.0005636399392030103,0.8287827656121253,0.9922029373747793,1774.1822934230051,2
Fidelity,32,5,0.9653039802189537,0.017822723793619932,0.00031764948342366604,0.8831594728253122,0.9944920793432614,3148.1241185153976,2
HS-RBF,32,5,0.3675945870131449,0.20968969411150296,0.04396976781657568,0.001985752685439765,0.8459980051236716,22.74289926141072,2
Bures-RBF,32,5,0.38587424473660914,0.1724610734652672,0.029742821860792294,0.024430311084232707,0.8437098482649648,33.62155765449492,2
HS-overlap,64,6,0.9184765072914152,0.046196518430346944,0.002134118315085385,0.7289792482005136,0.9870146737005101,468.5775821009205,2
Fidelity,64,6,0.9513113954588022,0.023096953668639595,0.000533469268771284,0.8567459607101022,0.9913333869428338,1874.5222237510613,2
HS-RBF,64,6,0.3679981233783308,0.21177049347611276,0.04484674190711632,0.007417586809778873,0.8628443708687012,22.29816386820553,2
Bures-RBF,64,6,0.37026917101888757,0.16266683673188462,0.026460499772357603,0.0348266483175382,0.8220243318724167,37.79218112292295,2
HS-overlap,4,2,0.9948100276999171,0.0042535938450169565,1.809306059836614e-05,0.9757202078346571,0.9999388489909925,55269.808806714726,3
