frame,pipeline,group,acc_mean,acc_std,auc_mean,n_subjects
reference,quantum/HS-overlap,quantum,0.6466666666666666,0.1262957532300695,0.6885589852981158,30
reference,classical/TS+LR,classical,0.6444444444444444,0.1289179515390841,0.6840655520003346,30
reference,quantum/QRE-RBF,quantum,0.6414814814814814,0.1255361709286909,0.6896150950498776,30
reference,quantum/Bures-RBF,quantum,0.64,0.1234387385695873,0.686583746366355,30
reference,quantum/Fidelity,quantum,0.6355555555555555,0.12619458981979834,0.6853232114101679,30
reference,control/riemann-kernel-SVM,control,0.6348148148148148,0.12940356131168718,0.6809717255369429,30
reference,quantum/HS-RBF,quantum,0.6348148148148148,0.12847911254864927,0.6867131459522764,30
reference,control/logeuclid-kernel-SVM,control,0.6333333333333333,0.13033016331114639,0.6814325971934668,30
reference,classical/MDM,classical,0.6325925925925926,0.12967304509236968,0.6815768973377669,30
sensor,classical/TS+LR,classical,0.6044444444444445,0.10494783719205417,0.6859236777715039,30
sensor,control/riemann-kernel-SVM,control,0.5874074074074074,0.09016013063249788,0.6906037601689776,30
sensor,control/logeuclid-kernel-SVM,control,0.5762962962962963,0.10791310906854941,0.6750334609030262,30
sensor,quantum/QRE-RBF,quantum,0.5755555555555555,0.09159668755780619,0.600925925925926,30
sensor,quantum/HS-RBF,quantum,0.5637037037037037,0.08645781561596473,0.5950932722671853,30
sensor,quantum/Bures-RBF,quantum,0.5614814814814815,0.09426886240527922,0.5931138507225463,30
sensor,quantum/Fidelity,quantum,0.5592592592592592,0.0821348470887136,0.6068082481125959,30
sensor,classical/MDM,classical,0.5525925925925925,0.11431895561491504,0.6789570131961437,30
sensor,quantum/HS-overlap,quantum,0.5518518518518518,0.08088133797717847,0.6064495890582847,30
