subject,frame,pipeline,group,accuracy,auc,best
6,sensor,control/riemann-kernel-SVM,control,0.5333333333333333,0.4345238095238095,"{""C"": 0.1}"
6,sensor,control/logeuclid-kernel-SVM,control,0.4666666666666667,0.4305555555555556,"{""C"": 10.0}"
6,sensor,quantum/HS-overlap,quantum,0.5111111111111111,0.4027777777777778,"{""C"": 10.0, ""gamma_mult"": 1.0}"
6,sensor,quantum/Fidelity,quantum,0.5333333333333333,0.38095238095238093,"{""C"": 10.0, ""gamma_mult"": 1.0}"
6,sensor,quantum/HS-RBF,quantum,0.5111111111111111,0.45238095238095233,"{""C"": 10.0, ""gamma_mult"": 4.0}"
6,sensor,quantum/Bures-RBF,quantum,0.4444444444444444,0.37103174603174605,"{""C"": 10.0, ""gamma_mult"": 0.25}"
6,sensor,quantum/QRE-RBF,quantum,0.5333333333333333,0.39285714285714285,"{""C"": 1.0, ""gamma_mult"": 0.25}"
7,sensor,classical/TS+LR,classical,0.8888888888888888,0.9980237154150198,"{""clf__C"": 1.0}"
7,sensor,classical/MDM,classical,0.8444444444444444,0.9565217391304348,{}
7,sensor,control/riemann-kernel-SVM,control,0.8222222222222222,0.9980237154150198,"{""C"": 0.1}"
7,sensor,control/logeuclid-kernel-SVM,control,0.9111111111111111,1.0,"{""C"": 0.1}"
7,sensor,quantum/HS-overlap,quantum,0.7777777777777778,0.9130434782608696,"{""C"": 10.0, ""gamma_mult"": 1.0}"
7,sensor,quantum/Fidelity,quantum,0.8444444444444444,0.9150197628458498,"{""C"": 10.0, ""gamma_mult"": 1.0}"
7,sensor,quantum/HS-RBF,quantum,0.7111111111111111,0.8478260869565217,"{""C"": 10.0, ""gamma_mult"": 4.0}"
7,sensor,quantum/Bures-RBF,quantum,0.8,0.8992094861660079,"{""C"": 10.0, ""gamma_mult"": 0.25}"
7,sensor,quantum/QRE-RBF,quantum,0.6888888888888889,0.9090909090909091,"{""C"": 10.0, ""gamma_mult"": 1.0}"
8,sensor,classical/TS+LR,classical,0.6222222222222222,0.7213438735177865,"{""clf__C"": 0.1}"
8,sensor,classical/MDM,classical,0.4888888888888889,0.6185770750988142,{}
8,sensor,control/riemann-kernel-SVM,control,0.6222222222222222,0.6778656126482213,"{""C"": 0.1}"
