subject,pipeline,acc,sec
1,classical/CSP+LDA,0.6555555555555556,1.6253649999998743
1,classical/TS+LR,0.611111111111111,2.11593159999984
1,classical/MDM,0.7111111111111111,0.16364379999981793
1,quantum/HS-overlap,0.5777777777777777,1.6134587999999894
1,quantumRS/HS-overlap-ref,0.6666666666666667,2.2382339000000684
1,quantum/Fidelity,0.48888888888888893,2.1521584000001894
1,quantumRS/Fidelity-ref,0.7444444444444445,2.6045212999999876
1,quantum/HS-RBF,0.5333333333333334,4.537102100000084
1,quantumRS/HS-RBF-ref,0.6888888888888888,5.622701499999948
1,quantum/Bures-RBF,0.6111111111111112,6.0107600000001185
1,quantumRS/Bures-RBF-ref,0.7222222222222222,7.266265799999928
1,quantum/QRE-RBF,0.5777777777777778,5.3721731000000545
1,quantumRS/QRE-RBF-ref,0.711111111111111,6.4584597999999005
2,classical/CSP+LDA,0.9333333333333332,2.0585859000000255
2,classical/TS+LR,0.9222222222222223,3.018758800000114
2,classical/MDM,0.9,0.2315048000000388
2,quantum/HS-overlap,0.5777777777777777,2.2345267999999123
2,quantumRS/HS-overlap-ref,0.888888888888889,2.401072099999965
2,quantum/Fidelity,0.5222222222222224,3.8337183999999525
2,quantumRS/Fidelity-ref,0.9,5.6483877000000575
2,quantum/HS-RBF,0.7222222222222222,5.764287100000047
2,quantumRS/HS-RBF-ref,0.9,5.394141999999874
2,quantum/Bures-RBF,0.7666666666666667,5.492191600000069
2,quantumRS/Bures-RBF-ref,0.9,6.544249300000047
2,quantum/QRE-RBF,0.7666666666666667,4.821118500000011
2,quantumRS/QRE-RBF-ref,0.9,5.635171700000001
3,classical/CSP+LDA,0.48888888888888893,1.4853030000001581
3,classical/TS+LR,0.45555555555555555,1.9910958999998911
3,classical/MDM,0.45555555555555555,0.14393979999999829
3,quantum/HS-overlap,0.5555555555555556,1.4637304999998832
3,quantumRS/HS-overlap-ref,0.4444444444444445,1.7599569999999858
3,quantum/Fidelity,0.47777777777777775,2.0358522999999877
3,quantumRS/Fidelity-ref,0.4666666666666667,2.4640103000001545
3,quantum/HS-RBF,0.45555555555555555,4.162753399999929
3,quantumRS/HS-RBF-ref,0.4333333333333333,5.01164330000006
3,quantum/Bures-RBF,0.4444444444444445,5.741611899999953
3,quantumRS/Bures-RBF-ref,0.4444444444444445,6.638767599999937
3,quantum/QRE-RBF,0.4333333333333334,6.6510809000001245
3,quantumRS/QRE-RBF-ref,0.4333333333333333,7.6445042000000285
4,classical/CSP+LDA,0.7222222222222221,1.9393330999998852
4,classical/TS+LR,0.6444444444444445,2.330330700000104
4,classical/MDM,0.6777777777777778,0.1694289000001845
4,quantum/HS-overlap,0.5666666666666667,1.7150528999998187
4,quantumRS/HS-overlap-ref,0.6666666666666667,2.0831071000000065
4,quantum/Fidelity,0.5555555555555556,2.380225200000041
4,quantumRS/Fidelity-ref,0.6333333333333334,2.598470199999838
4,quantum/HS-RBF,0.6666666666666667,4.510137500000155
4,quantumRS/HS-RBF-ref,0.6666666666666667,5.53301539999984
4,quantum/Bures-RBF,0.6777777777777778,5.817653900000096
4,quantumRS/Bures-RBF-ref,0.6777777777777778,7.16080020000004
4,quantum/QRE-RBF,0.6666666666666667,5.526124900000013
4,quantumRS/QRE-RBF-ref,0.6666666666666667,6.581805699999904
5,classical/CSP+LDA,0.5777777777777777,1.6616679000001113
5,classical/TS+LR,0.4444444444444445,2.196258700000044
5,classical/MDM,0.5333333333333334,0.15343200000006618
5,quantum/HS-overlap,0.5333333333333334,1.5553408999999192
5,quantumRS/HS-overlap-ref,0.45555555555555555,1.9587423999998919
5,quantum/Fidelity,0.5333333333333334,2.2036162000001696
5,quantumRS/Fidelity-ref,0.4666666666666666,2.8458411999999953
5,quantum/HS-RBF,0.47777777777777775,4.350528200000099
5,quantumRS/HS-RBF-ref,0.4444444444444445,5.137054199999966
5,quantum/Bures-RBF,0.4888888888888888,5.642972999999984
5,quantumRS/Bures-RBF-ref,0.47777777777777775,6.823296900000059
5,quantum/QRE-RBF,0.5,5.133804300000065
5,quantumRS/QRE-RBF-ref,0.47777777777777775,5.865206799999896
6,classical/CSP+LDA,0.4888888888888888,1.4601626999999553
6,classical/TS+LR,0.47777777777777775,2.1351635999999417
6,classical/MDM,0.4111111111111111,0.15062540000008084
6,quantum/HS-overlap,0.5333333333333334,1.4851229999999305
6,quantumRS/HS-overlap-ref,0.5222222222222223,1.806893700000046
6,quantum/Fidelity,0.5333333333333334,2.0299972000000253
6,quantumRS/Fidelity-ref,0.5333333333333334,2.474011799999971
6,quantum/HS-RBF,0.5222222222222223,4.283323599999903
6,quantumRS/HS-RBF-ref,0.4666666666666667,5.351644100000158
6,quantum/Bures-RBF,0.5111111111111111,5.864764899999955
6,quantumRS/Bures-RBF-ref,0.48888888888888893,7.117236800000001
6,quantum/QRE-RBF,0.5222222222222223,5.353498400000035
6,quantumRS/QRE-RBF-ref,0.48888888888888893,6.13387560000001
7,classical/CSP+LDA,0.9666666666666666,1.663606800000025
7,classical/TS+LR,0.9444444444444444,2.013580999999931
7,classical/MDM,0.9,0.1451240000001235
7,quantum/HS-overlap,0.8555555555555555,1.4796571000001677
7,quantumRS/HS-overlap-ref,0.9666666666666668,1.7922638999998526
7,quantum/Fidelity,0.8444444444444444,2.0912243000000217
7,quantumRS/Fidelity-ref,1.0,2.4980551999999534
7,quantum/HS-RBF,0.8111111111111111,4.28160610000009
7,quantumRS/HS-RBF-ref,0.9666666666666668,5.073901599999999
7,quantum/Bures-RBF,0.8222222222222222,5.501510199999984
7,quantumRS/Bures-RBF-ref,0.9666666666666668,6.727201800000103
7,quantum/QRE-RBF,0.8555555555555555,5.109369300000026
7,quantumRS/QRE-RBF-ref,0.9666666666666668,6.0316559000000325
8,classical/CSP+LDA,0.5111111111111111,1.6030140000000301
8,classical/TS+LR,0.5111111111111112,2.16511730000002
8,classical/MDM,0.45555555555555555,0.14610930000003464
8,quantum/HS-overlap,0.5333333333333333,1.5046683999999004
8,quantumRS/HS-overlap-ref,0.4333333333333333,1.8263193000000228
8,quantum/Fidelity,0.4888888888888888,2.030905399999938
8,quantumRS/Fidelity-ref,0.5111111111111111,2.54182609999998
8,quantum/HS-RBF,0.5333333333333334,4.427898599999935
8,quantumRS/HS-RBF-ref,0.47777777777777775,5.191107500000044
8,quantum/Bures-RBF,0.5333333333333334,6.219863299999815
8,quantumRS/Bures-RBF-ref,0.5222222222222223,7.36194260000002
8,quantum/QRE-RBF,0.5111111111111111,5.3507200999999895
8,quantumRS/QRE-RBF-ref,0.48888888888888893,6.90094380000005
9,classical/CSP+LDA,0.5111111111111111,1.9238814000000275
9,classical/TS+LR,0.5333333333333333,2.1439838000001146
9,classical/MDM,0.4333333333333333,0.16729830000008405
9,quantum/HS-overlap,0.5333333333333333,1.6462200999999368
9,quantumRS/HS-overlap-ref,0.5222222222222221,2.685759500000131
9,quantum/Fidelity,0.5333333333333333,2.9783941000000596
9,quantumRS/Fidelity-ref,0.5111111111111111,2.8739722999998776
9,quantum/HS-RBF,0.4666666666666667,4.670630599999868
9,quantumRS/HS-RBF-ref,0.5333333333333334,5.2669241999999485
