frame,pipeline,group,acc_mean,acc_std,n_subjects
reference,quantum/Bures-RBF,quantum,0.7600308641975309,0.1521792692367303,9
reference,quantum/QRE-RBF,quantum,0.7600308641975309,0.15248595515954602,9
reference,quantum/Fidelity,quantum,0.7588734567901235,0.150462962962963,9
reference,control/logeuclid-kernel-SVM,control,0.7546296296296297,0.1525606095403834,9
reference,control/riemann-kernel-SVM,control,0.7546296296296297,0.1525606095403834,9
reference,quantum/HS-overlap,quantum,0.7542438271604939,0.15222217646097355,9
reference,quantum/HS-RBF,quantum,0.746141975308642,0.15197116261920432,9
reference,classical/TS+LR,classical,0.7384259259259259,0.14115981975939956,9
reference,classical/MDM,classical,0.7318672839506173,0.15474563007263728,9
sensor,control/riemann-kernel-SVM,control,0.7341820987654322,0.16007199691331458,9
sensor,control/logeuclid-kernel-SVM,control,0.7237654320987654,0.16218577829262368,9
sensor,classical/TS+LR,classical,0.716820987654321,0.14844624234236875,9
sensor,classical/MDM,classical,0.7006172839506173,0.17599729759614322,9
sensor,quantum/HS-RBF,quantum,0.5775462962962963,0.10148456767830197,9
sensor,quantum/QRE-RBF,quantum,0.5756172839506173,0.10638236379193795,9
sensor,quantum/Bures-RBF,quantum,0.5733024691358025,0.10344723266885875,9
sensor,quantum/HS-overlap,quantum,0.5597993827160495,0.08137117362400441,9
sensor,quantum/Fidelity,quantum,0.5416666666666666,0.06479672780042192,9
