kernel,log_variance_slope_per_qubit,variance_factor_per_qubit,variance_first,variance_last,qubits
IQP-entangled,-0.8495091413818594,0.427624783751165,0.07823545516019083,0.002725692074181086,2->6
IQP-product,-0.33415373947738136,0.7159437049547799,0.09821427006435901,0.026330961293963857,2->6
Bures-RBF,-0.28336064321266935,0.7532480850594439,0.09509012535373815,0.031711381395131896,2->6
HS-RBF,-0.18036420854815796,0.8349660542519352,0.09318082803613945,0.04631414709570737,2->6
Fidelity,0.3693738394222018,1.4468283840730527,0.0002642009616927165,0.0012476828514543185,2->6
HS-overlap,0.4189873376831454,1.520421102614554,0.0005057689134889443,0.0035557936817446857,2->6
