subject,frame,pipeline,group,accuracy,auc,best
73,sensor,classical/TS+LR,classical,0.6444444444444445,0.723320158102767,"{""clf__C"": 0.1}"
73,sensor,classical/MDM,classical,0.5111111111111111,0.7173913043478262,{}
73,sensor,control/riemann-kernel-SVM,control,0.7111111111111111,0.7628458498023716,"{""C"": 10.0}"
73,sensor,control/logeuclid-kernel-SVM,control,0.6,0.6699604743083004,"{""C"": 10.0}"
73,sensor,quantum/HS-overlap,quantum,0.5111111111111111,0.733201581027668,"{""C"": 10.0, ""gamma_mult"": 1.0}"
73,sensor,quantum/Fidelity,quantum,0.5111111111111111,0.7391304347826086,"{""C"": 10.0, ""gamma_mult"": 1.0}"
73,sensor,quantum/HS-RBF,quantum,0.5111111111111111,0.7272727272727273,"{""C"": 10.0, ""gamma_mult"": 0.25}"
73,sensor,quantum/Bures-RBF,quantum,0.5333333333333333,0.7351778656126482,"{""C"": 10.0, ""gamma_mult"": 0.25}"
73,sensor,quantum/QRE-RBF,quantum,0.5333333333333333,0.7351778656126482,"{""C"": 10.0, ""gamma_mult"": 0.25}"
74,sensor,classical/TS+LR,classical,0.5333333333333333,0.5753968253968255,"{""clf__C"": 0.1}"
74,sensor,classical/MDM,classical,0.6,0.5476190476190477,{}
74,sensor,control/riemann-kernel-SVM,control,0.5777777777777777,0.5734126984126985,"{""C"": 10.0}"
74,sensor,control/logeuclid-kernel-SVM,control,0.4888888888888889,0.5734126984126984,"{""C"": 1.0}"
74,sensor,quantum/HS-overlap,quantum,0.5777777777777777,0.5456349206349207,"{""C"": 10.0, ""gamma_mult"": 1.0}"
74,sensor,quantum/Fidelity,quantum,0.6,0.6388888888888888,"{""C"": 10.0, ""gamma_mult"": 1.0}"
74,sensor,quantum/HS-RBF,quantum,0.6444444444444445,0.621031746031746,"{""C"": 10.0, ""gamma_mult"": 0.25}"
74,sensor,quantum/Bures-RBF,quantum,0.6444444444444445,0.626984126984127,"{""C"": 10.0, ""gamma_mult"": 0.25}"
