kernel,log_variance_slope_per_qubit,variance_factor_per_qubit,variance_first,variance_last,qubits
IQP-entangled,-0.8588091440394601,0.4236663075759901,0.07475599013909386,0.0024767053291312067,2->6
IQP-product,-0.3187338463458485,0.7270690356373043,0.09395717536964696,0.02651807892575212,2->6
Bures-RBF,-0.19476840784759472,0.8230252421735924,0.07757755115375195,0.03643241362548361,2->6
HS-RBF,-0.11258146480328828,0.8935245533415198,0.07681821864559026,0.05009333618047243,2->6
Fidelity,0.49339685858987287,1.6378703953621045,0.00029916544860081437,0.002132653000687907,2->6
HS-overlap,0.5358203631509374,1.7088495445840979,0.0004338035114673402,0.003687788733265786,2->6
