frame,pipeline,group,acc_mean,acc_std,auc_mean,n_subjects
reference,quantum/HS-overlap,quantum,0.6741452991452992,0.15209939459607066,0.721109204804857,104
reference,classical/TS+LR,classical,0.6737179487179487,0.15787345119016447,0.7232318557046818,104
reference,quantum/Bures-RBF,quantum,0.6730769230769231,0.15382526896108853,0.7237499819021558,104
reference,quantum/HS-RBF,quantum,0.6722222222222223,0.15010484170184948,0.7222500476576563,104
reference,quantum/Fidelity,quantum,0.6717948717948717,0.15215045731475313,0.7221109204804856,104
reference,quantum/QRE-RBF,quantum,0.6715811965811966,0.15138362161854618,0.7232153414218632,104
reference,control/logeuclid-kernel-SVM,control,0.6694444444444444,0.15382571850006233,0.7205140119542294,104
reference,control/riemann-kernel-SVM,control,0.6688034188034189,0.15447363714912224,0.7203239091826048,104
reference,classical/MDM,classical,0.6623931623931624,0.15249184927460238,0.7100375469940687,104
sensor,classical/TS+LR,classical,0.6264957264957265,0.1305747323913824,0.7073752032991164,104
sensor,control/riemann-kernel-SVM,control,0.6260683760683761,0.13091815863089948,0.7094259152683067,104
sensor,control/logeuclid-kernel-SVM,control,0.6168803418803418,0.13693430060814388,0.7021411559455039,104
sensor,quantum/Bures-RBF,quantum,0.5873931623931624,0.1090318689253124,0.6459131146631146,104
sensor,quantum/QRE-RBF,quantum,0.5794871794871794,0.10315378295747357,0.6408273188164493,104
sensor,quantum/Fidelity,quantum,0.5792735042735042,0.10624802885193661,0.650880595853422,104
sensor,quantum/HS-RBF,quantum,0.5775641025641025,0.10356212007970858,0.637697296664688,104
sensor,quantum/HS-overlap,quantum,0.5677350427350427,0.09835661790482007,0.6414645891548065,104
sensor,classical/MDM,classical,0.5461538461538461,0.08501213302254772,0.6901867757846019,104
