subject,frame,pipeline,group,accuracy,auc,best
47,reference,classical/TS+LR,classical,0.5111111111111111,0.5932539682539683,"{""clf__C"": 1.0}"
47,reference,classical/MDM,classical,0.5111111111111111,0.5337301587301587,{}
47,reference,control/riemann-kernel-SVM,control,0.5333333333333333,0.5873015873015873,"{""C"": 0.1}"
47,reference,control/logeuclid-kernel-SVM,control,0.5333333333333333,0.5873015873015873,"{""C"": 0.1}"
47,reference,quantum/HS-overlap,quantum,0.5111111111111111,0.5992063492063493,"{""C"": 10.0, ""gamma_mult"": 1.0}"
47,reference,quantum/Fidelity,quantum,0.5333333333333333,0.5912698412698413,"{""C"": 10.0, ""gamma_mult"": 1.0}"
47,reference,quantum/HS-RBF,quantum,0.5555555555555556,0.5932539682539683,"{""C"": 1.0, ""gamma_mult"": 0.25}"
47,reference,quantum/Bures-RBF,quantum,0.5555555555555556,0.5972222222222221,"{""C"": 1.0, ""gamma_mult"": 0.25}"
47,reference,quantum/QRE-RBF,quantum,0.5333333333333333,0.5932539682539683,"{""C"": 1.0, ""gamma_mult"": 0.25}"
48,reference,classical/TS+LR,classical,0.8444444444444444,0.9189723320158102,"{""clf__C"": 10.0}"
48,reference,classical/MDM,classical,0.8,0.8656126482213439,{}
48,reference,control/riemann-kernel-SVM,control,0.8444444444444444,0.9308300395256918,"{""C"": 1.0}"
48,reference,control/logeuclid-kernel-SVM,control,0.8444444444444444,0.9308300395256918,"{""C"": 1.0}"
48,reference,quantum/HS-overlap,quantum,0.8666666666666667,0.924901185770751,"{""C"": 1.0, ""gamma_mult"": 1.0}"
48,reference,quantum/Fidelity,quantum,0.8666666666666667,0.924901185770751,"{""C"": 10.0, ""gamma_mult"": 1.0}"
48,reference,quantum/HS-RBF,quantum,0.8444444444444444,0.9268774703557312,"{""C"": 0.1, ""gamma_mult"": 0.25}"
48,reference,quantum/Bures-RBF,quantum,0.8888888888888888,0.932806324110672,"{""C"": 0.1, ""gamma_mult"": 0.25}"
48,reference,quantum/QRE-RBF,quantum,0.9111111111111111,0.9347826086956521,"{""C"": 1.0, ""gamma_mult"": 0.25}"
49,reference,classical/TS+LR,classical,0.8666666666666667,0.9723320158102766,"{""clf__C"": 0.1}"
49,reference,classical/MDM,classical,0.9111111111111111,0.9407114624505929,{}
49,reference,control/riemann-kernel-SVM,control,0.8666666666666667,0.9644268774703557,"{""C"": 1.0}"
49,reference,control/logeuclid-kernel-SVM,control,0.8666666666666667,0.9644268774703557,"{""C"": 1.0}"
49,reference,quantum/HS-overlap,quantum,0.8666666666666667,0.958498023715415,"{""C"": 1.0, ""gamma_mult"": 1.0}"
49,reference,quantum/Fidelity,quantum,0.8666666666666667,0.9644268774703557,"{""C"": 10.0, ""gamma_mult"": 1.0}"
49,reference,quantum/HS-RBF,quantum,0.8888888888888888,0.958498023715415,"{""C"": 1.0, ""gamma_mult"": 0.25}"
49,reference,quantum/Bures-RBF,quantum,0.8888888888888888,0.9604743083003953,"{""C"": 1.0, ""gamma_mult"": 0.25}"
49,reference,quantum/QRE-RBF,quantum,0.8888888888888888,0.9604743083003953,"{""C"": 1.0, ""gamma_mult"": 0.25}"
50,reference,classical/TS+LR,classical,0.6,0.6343873517786561,"{""clf__C"": 10.0}"
50,reference,classical/MDM,classical,0.6222222222222222,0.5869565217391304,{}
50,reference,control/riemann-kernel-SVM,control,0.5555555555555556,0.6245059288537549,"{""C"": 1.0}"
50,reference,control/logeuclid-kernel-SVM,control,0.5777777777777777,0.6264822134387351,"{""C"": 10.0}"
50,reference,quantum/HS-overlap,quantum,0.6,0.6047430830039525,"{""C"": 1.0, ""gamma_mult"": 1.0}"
50,reference,quantum/Fidelity,quantum,0.5777777777777777,0.624505928853755,"{""C"": 10.0, ""gamma_mult"": 1.0}"
50,reference,quantum/HS-RBF,quantum,0.6222222222222222,0.6146245059288538,"{""C"": 1.0, ""gamma_mult"": 0.25}"
50,reference,quantum/Bures-RBF,quantum,0.6,0.6245059288537549,"{""C"": 1.0, ""gamma_mult"": 0.25}"
50,reference,quantum/QRE-RBF,quantum,0.6,0.6205533596837944,"{""C"": 1.0, ""gamma_mult"": 0.25}"
51,reference,classical/TS+LR,classical,0.4666666666666667,0.49603174603174605,"{""clf__C"": 1.0}"
51,reference,classical/MDM,classical,0.5333333333333333,0.5555555555555556,{}
51,reference,control/riemann-kernel-SVM,control,0.4666666666666667,0.49603174603174605,"{""C"": 1.0}"
51,reference,control/logeuclid-kernel-SVM,control,0.4666666666666667,0.49603174603174605,"{""C"": 1.0}"
51,reference,quantum/HS-overlap,quantum,0.4666666666666667,0.4821428571428571,"{""C"": 1.0, ""gamma_mult"": 1.0}"
51,reference,quantum/Fidelity,quantum,0.4666666666666667,0.494047619047619,"{""C"": 10.0, ""gamma_mult"": 1.0}"
51,reference,quantum/HS-RBF,quantum,0.4666666666666667,0.4861111111111111,"{""C"": 1.0, ""gamma_mult"": 0.25}"
51,reference,quantum/Bures-RBF,quantum,0.4666666666666667,0.503968253968254,"{""C"": 1.0, ""gamma_mult"": 0.25}"
