frame,pipeline,group,acc_mean,acc_std,auc_mean,n_subjects
reference,classical/MDM,classical,0.6833333333333333,0.16491139195267013,0.7161433825836,8
reference,quantum/Bures-RBF,quantum,0.6833333333333333,0.19436506316151003,0.7302538192483844,8
reference,quantum/QRE-RBF,quantum,0.675,0.19040011708383459,0.7285216293368467,8
reference,quantum/HS-RBF,quantum,0.6694444444444444,0.17874242254014652,0.7243132018947236,8
reference,control/logeuclid-kernel-SVM,control,0.6638888888888889,0.183801710500933,0.7220967438358743,8
reference,quantum/Fidelity,quantum,0.6611111111111111,0.1899596169838634,0.7253091865863606,8
reference,quantum/HS-overlap,quantum,0.6611111111111111,0.1986728453284431,0.7213477947173599,8
reference,control/riemann-kernel-SVM,control,0.6583333333333333,0.18514020617781166,0.7198734236777715,8
reference,classical/TS+LR,classical,0.6555555555555556,0.18930859067778508,0.7228398111550285,8
